zone,zone_kind,bin_start,zone_lat,zone_lon,predicted_violations,risk,priority_score,congestion_index,est_capacity_reduction_pct,pcu_load,forecast_window_start
GRID_13.04_77.62,grid,2024-04-09,13.037468609009009,77.6230085945946,0.12039108,Low,0.7,0.7,0.4,0.19,2024-04-09
GRID_13.01_77.58,grid,2024-04-09,13.007092317592592,77.57994972361111,0.10301784,Low,0.7,0.5,0.3,0.12,2024-04-09
GRID_13.04_77.51,grid,2024-04-09,13.04041708034826,77.5138938756219,0.1063971,Low,0.6,0.5,0.3,0.11,2024-04-09
GRID_12.98_77.6,grid,2024-04-09,12.975668472185431,77.60155135761589,0.032203484,Low,0.6,0.1,0.1,0.03,2024-04-09
GRID_12.92_77.64,grid,2024-04-09,12.917752190789836,77.63916383991257,0.06448872,Low,0.6,0.3,0.2,0.07,2024-04-09
GRID_12.91_77.69,grid,2024-04-09,12.909700628235294,77.68756728588235,0.1221166,Low,0.6,0.6,0.4,0.15,2024-04-09
GRID_13.02_77.54,grid,2024-04-09,13.01898408016529,77.53921748347108,0.08983236,Low,0.6,0.5,0.3,0.12,2024-04-09
GRID_13.1_77.59,grid,2024-04-09,13.09954007615894,77.58855181324503,0.048273798,Low,0.6,0.1,0.1,0.04,2024-04-09
GRID_13.18_77.69,grid,2024-04-09,13.184081930927835,77.68790758041237,0.030523103,Low,0.6,0.1,0.1,0.03,2024-04-09
GRID_13.02_77.61,grid,2024-04-09,13.021238062857142,77.61288166285713,0.15595314,Low,0.6,1.0,0.6,0.26,2024-04-09
GRID_12.87_77.54,grid,2024-04-09,12.87142779736842,77.53865050438596,0.12316444,Low,0.6,0.6,0.3,0.15,2024-04-09
GRID_12.9_77.63,grid,2024-04-09,12.900755973679487,77.63124567494684,0.07039338,Low,0.6,0.3,0.2,0.08,2024-04-09
GRID_12.9_77.65,grid,2024-04-09,12.900243158186711,77.64901458048934,0.16969123,Low,0.6,0.8,0.5,0.21,2024-04-09
GRID_12.96_77.56,grid,2024-04-09,12.964306001298702,77.55543871363636,0.03721762,Low,0.6,0.2,0.1,0.04,2024-04-09
GRID_13.0_77.53,grid,2024-04-09,13.001913362987164,77.52635384639399,0.09914193,Low,0.6,0.9,0.5,0.23,2024-04-09
GRID_12.94_77.63,grid,2024-04-09,12.937992745867538,77.62728167837248,0.05462885,Low,0.6,0.2,0.1,0.04,2024-04-09
